# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.49219656E-11  0.24225745E-22  0.00000000E+00   12.500000
 -4.995  0.12361490E-04  0.15280642E-09  0.00000000E+00   12.475013
 -4.990  0.24728531E-04  0.61150026E-09  0.00000000E+00   12.450050
 -4.985  0.37106639E-04  0.13769027E-08  0.00000000E+00   12.425113
 -4.980  0.49501306E-04  0.24503793E-08  0.00000000E+00   12.400200
 -4.975  0.61918001E-04  0.38338389E-08  0.00000000E+00   12.375313
 -4.970  0.74362174E-04  0.55297329E-08  0.00000000E+00   12.350450
 -4.965  0.86839254E-04  0.75410560E-08  0.00000000E+00   12.325613
 -4.960  0.99354654E-04  0.98713472E-08  0.00000000E+00   12.300800
 -4.955  0.11191377E-03  0.12524693E-07  0.00000000E+00   12.276013
 -4.950  0.12452200E-03  0.15505729E-07  0.00000000E+00   12.251250
 -4.945  0.13718472E-03  0.18819647E-07  0.00000000E+00   12.226513
 -4.940  0.14990729E-03  0.22472195E-07  0.00000000E+00   12.201800
 -4.935  0.16269508E-03  0.26469690E-07  0.00000000E+00   12.177113
 -4.930  0.17555347E-03  0.30819019E-07  0.00000000E+00   12.152450
 -4.925  0.18848780E-03  0.35527649E-07  0.00000000E+00   12.127812
 -4.920  0.20150344E-03  0.40603635E-07  0.00000000E+00   12.103200
 -4.915  0.21460576E-03  0.46055631E-07  0.00000000E+00   12.078613
 -4.910  0.22780013E-03  0.51892899E-07  0.00000000E+00   12.054050
 -4.905  0.24109193E-03  0.58125320E-07  0.00000000E+00   12.029513
 -4.900  0.25448656E-03  0.64763407E-07  0.00000000E+00   12.005000
 -4.895  0.26798940E-03  0.71818319E-07  0.00000000E+00   11.980513
 -4.890  0.28160588E-03  0.79301871E-07  0.00000000E+00   11.956050
 -4.885  0.29534142E-03  0.87226555E-07  0.00000000E+00   11.931612
 -4.880  0.30920147E-03  0.95605551E-07  0.00000000E+00   11.907200
 -4.875  0.32319150E-03  0.10445275E-06  0.00000000E+00   11.882813
 -4.870  0.33731699E-03  0.11378275E-06  0.00000000E+00   11.858450
 -4.865  0.35158346E-03  0.12361093E-06  0.00000000E+00   11.834113
 -4.860  0.36599643E-03  0.13395339E-06  0.00000000E+00   11.809800
 -4.855  0.38056147E-03  0.14482703E-06  0.00000000E+00   11.785513
 -4.850  0.39528417E-03  0.15624957E-06  0.00000000E+00   11.761250
 -4.845  0.41017014E-03  0.16823955E-06  0.00000000E+00   11.737012
 -4.840  0.42522505E-03  0.18081634E-06  0.00000000E+00   11.712800
 -4.835  0.44045457E-03  0.19400023E-06  0.00000000E+00   11.688612
 -4.830  0.45586442E-03  0.20781237E-06  0.00000000E+00   11.664450
 -4.825  0.47146037E-03  0.22227488E-06  0.00000000E+00   11.640313
 -4.820  0.48724821E-03  0.23741082E-06  0.00000000E+00   11.616200
 -4.815  0.50323379E-03  0.25324424E-06  0.00000000E+00   11.592113
 -4.810  0.51942297E-03  0.26980022E-06  0.00000000E+00   11.568050
 -4.805  0.53582169E-03  0.28710488E-06  0.00000000E+00   11.544012
 -4.800  0.55243592E-03  0.30518545E-06  0.00000000E+00   11.520000
 -4.795  0.56927168E-03  0.32407024E-06  0.00000000E+00   11.496012
 -4.790  0.58633503E-03  0.34378877E-06  0.00000000E+00   11.472050
 -4.785  0.60363210E-03  0.36437171E-06  0.00000000E+00   11.448113
 -4.780  0.62116905E-03  0.38585099E-06  0.00000000E+00   11.424200
 -4.775  0.63895212E-03  0.40825981E-06  0.00000000E+00   11.400313
 -4.770  0.65698759E-03  0.43163269E-06  0.00000000E+00   11.376450
 -4.765  0.67528179E-03  0.45600549E-06  0.00000000E+00   11.352612
 -4.760  0.69384113E-03  0.48141551E-06  0.00000000E+00   11.328800
 -4.755  0.71267207E-03  0.50790147E-06  0.00000000E+00   11.305013
 -4.750  0.73178112E-03  0.53550361E-06  0.00000000E+00   11.281250
 -4.745  0.75117489E-03  0.56426372E-06  0.00000000E+00   11.257513
 -4.740  0.77086002E-03  0.59422518E-06  0.00000000E+00   11.233800
 -4.735  0.79084324E-03  0.62543303E-06  0.00000000E+00   11.210113
 -4.730  0.81113133E-03  0.65793403E-06  0.00000000E+00   11.186450
 -4.725  0.83173116E-03  0.69177672E-06  0.00000000E+00   11.162813
 -4.720  0.85264966E-03  0.72701144E-06  0.00000000E+00   11.139200
 -4.715  0.87389383E-03  0.76369043E-06  0.00000000E+00   11.115612
 -4.710  0.89547077E-03  0.80186791E-06  0.00000000E+00   11.092050
 -4.705  0.91738764E-03  0.84160008E-06  0.00000000E+00   11.068513
 -4.700  0.93965166E-03  0.88294525E-06  0.00000000E+00   11.045000
 -4.695  0.96227018E-03  0.92596389E-06  0.00000000E+00   11.021513
 -4.690  0.98525058E-03  0.97071870E-06  0.00000000E+00   10.998050
 -4.685  0.10086003E-02  0.10172747E-05  0.00000000E+00   10.974613
 -4.680  0.10323271E-02  0.10656992E-05  0.00000000E+00   10.951200
 -4.675  0.10564384E-02  0.11160621E-05  0.00000000E+00   10.927812
 -4.670  0.10809421E-02  0.11684358E-05  0.00000000E+00   10.904450
 -4.665  0.11058459E-02  0.12228952E-05  0.00000000E+00   10.881113
 -4.660  0.11311579E-02  0.12795182E-05  0.00000000E+00   10.857800
 -4.655  0.11568860E-02  0.13383853E-05  0.00000000E+00   10.834513
