# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
-10.000  0.95146040E+07  0.90527689E+14  0.00000000E+00   50.000000
 -9.950  0.58662340E+07  0.34412701E+14  0.00000000E+00   49.501250
 -9.900  0.36258082E+07  0.13146485E+14  0.00000000E+00   49.005000
 -9.850  0.22466096E+07  0.50472545E+13  0.00000000E+00   48.511250
 -9.800  0.13954950E+07  0.19474062E+13  0.00000000E+00   48.020000
 -9.750  0.86897522E+06  0.75511794E+12  0.00000000E+00   47.531250
 -9.700  0.54245725E+06  0.29425987E+12  0.00000000E+00   47.045000
 -9.650  0.33947142E+06  0.11524085E+12  0.00000000E+00   46.561250
 -9.600  0.21297129E+06  0.45356770E+11  0.00000000E+00   46.080000
 -9.550  0.13394287E+06  0.17940693E+11  0.00000000E+00   45.601250
 -9.500  0.84449959E+05  0.71317956E+10  0.00000000E+00   45.125000
 -9.450  0.53377857E+05  0.28491956E+10  0.00000000E+00   44.651250
 -9.400  0.33822466E+05  0.11439592E+10  0.00000000E+00   44.180000
 -9.350  0.21484855E+05  0.46159898E+09  0.00000000E+00   43.711250
 -9.300  0.13681798E+05  0.18719160E+09  0.00000000E+00   43.245000
 -9.250  0.87345019E+04  0.76291523E+08  0.00000000E+00   42.781250
 -9.200  0.55900784E+04  0.31248977E+08  0.00000000E+00   42.320000
 -9.150  0.35866009E+04  0.12863706E+08  0.00000000E+00   41.861250
 -9.100  0.23069289E+04  0.53219208E+07  0.00000000E+00   41.405000
 -9.050  0.14875513E+04  0.22128090E+07  0.00000000E+00   40.951250
 -9.000  0.96160549E+03  0.92468511E+06  0.00000000E+00   40.500000
 -8.950  0.62317459E+03  0.38834657E+06  0.00000000E+00   40.051250
 -8.900  0.40486571E+03  0.16391624E+06  0.00000000E+00   39.605000
 -8.850  0.26369466E+03  0.69534873E+05  0.00000000E+00   39.161250
 -8.800  0.17217948E+03  0.29645772E+05  0.00000000E+00   38.720000
 -8.750  0.11270723E+03  0.12702920E+05  0.00000000E+00   38.281250
 -8.700  0.73962769E+02  0.54704912E+04  0.00000000E+00   37.845000
 -8.650  0.48659336E+02  0.23677310E+04  0.00000000E+00   37.411250
 -8.600  0.32093087E+02  0.10299662E+04  0.00000000E+00   36.980000
 -8.550  0.21220213E+02  0.45029744E+03  0.00000000E+00   36.551250
 -8.500  0.14066356E+02  0.19786237E+03  0.00000000E+00   36.125000
 -8.450  0.93477641E+01  0.87380693E+02  0.00000000E+00   35.701250
