# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000 -0.10031338E-07  0.10062774E-15  0.00000000E+00   12.500000
 -4.990  0.35557745E-06  0.12643533E-12  0.00000000E+00   12.450050
 -4.980  0.72203608E-06  0.52133610E-12  0.00000000E+00   12.400200
 -4.970  0.10902132E-05  0.11885648E-11  0.00000000E+00   12.350450
 -4.960  0.14609742E-05  0.21344456E-11  0.00000000E+00   12.300800
 -4.950  0.18351833E-05  0.33678978E-11  0.00000000E+00   12.251250
 -4.940  0.22137056E-05  0.49004925E-11  0.00000000E+00   12.201800
 -4.930  0.25974088E-05  0.67465322E-11  0.00000000E+00   12.152450
 -4.920  0.29871651E-05  0.89231556E-11  0.00000000E+00   12.103200
 -4.910  0.33838537E-05  0.11450466E-10  0.00000000E+00   12.054050
 -4.900  0.37883616E-05  0.14351684E-10  0.00000000E+00   12.005000
 -4.890  0.42015866E-05  0.17653330E-10  0.00000000E+00   11.956050
 -4.880  0.46244383E-05  0.21385430E-10  0.00000000E+00   11.907200
 -4.870  0.50578404E-05  0.25581750E-10  0.00000000E+00   11.858450
 -4.860  0.55027324E-05  0.30280063E-10  0.00000000E+00   11.809800
 -4.850  0.59600713E-05  0.35522449E-10  0.00000000E+00   11.761250
 -4.840  0.64308337E-05  0.41355623E-10  0.00000000E+00   11.712800
 -4.830  0.69160178E-05  0.47831302E-10  0.00000000E+00   11.664450
 -4.820  0.74166445E-05  0.55006615E-10  0.00000000E+00   11.616200
 -4.810  0.79337602E-05  0.62944551E-10  0.00000000E+00   11.568050
 -4.800  0.84684381E-05  0.71714445E-10  0.00000000E+00   11.520000
 -4.790  0.90217806E-05  0.81392524E-10  0.00000000E+00   11.472050
 -4.780  0.95949205E-05  0.92062499E-10  0.00000000E+00   11.424200
 -4.770  0.10189024E-04  0.10381620E-09  0.00000000E+00   11.376450
 -4.760  0.10805291E-04  0.11675432E-09  0.00000000E+00   11.328800
 -4.750  0.11444960E-04  0.13098711E-09  0.00000000E+00   11.281250
 -4.740  0.12109307E-04  0.14663532E-09  0.00000000E+00   11.233800
 -4.730  0.12799650E-04  0.16383105E-09  0.00000000E+00   11.186450
 -4.720  0.13517350E-04  0.18271875E-09  0.00000000E+00   11.139200
 -4.710  0.14263812E-04  0.20345634E-09  0.00000000E+00   11.092050
 -4.700  0.15040491E-04  0.22621638E-09  0.00000000E+00   11.045000
 -4.690  0.15848891E-04  0.25118734E-09  0.00000000E+00   10.998050
 -4.680  0.16690567E-04  0.27857501E-09  0.00000000E+00   10.951200
 -4.670  0.17567130E-04  0.30860405E-09  0.00000000E+00   10.904450
 -4.660  0.18480248E-04  0.34151957E-09  0.00000000E+00   10.857800
 -4.650  0.19431650E-04  0.37758901E-09  0.00000000E+00   10.811250
 -4.640  0.20423124E-04  0.41710399E-09  0.00000000E+00   10.764800
 -4.630  0.21456526E-04  0.46038251E-09  0.00000000E+00   10.718450
 -4.620  0.22533779E-04  0.50777119E-09  0.00000000E+00   10.672200
 -4.610  0.23656875E-04  0.55964774E-09  0.00000000E+00   10.626050
 -4.600  0.24827882E-04  0.61642371E-09  0.00000000E+00   10.580000
 -4.590  0.26048941E-04  0.67854734E-09  0.00000000E+00   10.534050
 -4.580  0.27322276E-04  0.74650677E-09  0.00000000E+00   10.488200
 -4.570  0.28650191E-04  0.82083344E-09  0.00000000E+00   10.442450
 -4.560  0.30035076E-04  0.90210582E-09  0.00000000E+00   10.396800
 -4.550  0.31479412E-04  0.99095339E-09  0.00000000E+00   10.351250
 -4.540  0.32985770E-04  0.10880610E-08  0.00000000E+00   10.305800
 -4.530  0.34556819E-04  0.11941737E-08  0.00000000E+00   10.260450
 -4.520  0.36195325E-04  0.13101016E-08  0.00000000E+00   10.215200
 -4.510  0.37904161E-04  0.14367254E-08  0.00000000E+00   10.170050
 -4.500  0.39686304E-04  0.15750027E-08  0.00000000E+00   10.125000
 -4.490  0.41544842E-04  0.17259739E-08  0.00000000E+00   10.080050
 -4.480  0.43482981E-04  0.18907697E-08  0.00000000E+00   10.035200
 -4.470  0.45504044E-04  0.20706180E-08  0.00000000E+00    9.990450
 -4.460  0.47611478E-04  0.22668528E-08  0.00000000E+00    9.945800
 -4.450  0.49808857E-04  0.24809223E-08  0.00000000E+00    9.901250
 -4.440  0.52099890E-04  0.27143985E-08  0.00000000E+00    9.856800
 -4.430  0.54488420E-04  0.29689880E-08  0.00000000E+00    9.812450
 -4.420  0.56978435E-04  0.32465420E-08  0.00000000E+00    9.768200
 -4.410  0.59574067E-04  0.35490694E-08  0.00000000E+00    9.724050
 -4.400  0.62279602E-04  0.38787488E-08  0.00000000E+00    9.680000
 -4.390  0.65099482E-04  0.42379425E-08  0.00000000E+00    9.636050
 -4.380  0.68038313E-04  0.46292120E-08  0.00000000E+00    9.592200
 -4.370  0.71100867E-04  0.50553333E-08  0.00000000E+00    9.548450
 -4.360  0.74292092E-04  0.55193149E-08  0.00000000E+00    9.504800
 -4.350  0.77617114E-04  0.60244164E-08  0.00000000E+00    9.461250
 -4.340  0.81081245E-04  0.65741683E-08  0.00000000E+00    9.417800
 -4.330  0.84689990E-04  0.71723944E-08  0.00000000E+00    9.374450
 -4.320  0.88449050E-04  0.78232345E-08  0.00000000E+00    9.331200
 -4.310  0.92364333E-04  0.85311699E-08  0.00000000E+00    9.288050
 -4.300  0.96441956E-04  0.93010508E-08  0.00000000E+00    9.245000
 -4.290  0.10068826E-03  0.10138125E-07  0.00000000E+00    9.202050
 -4.280  0.10510979E-03  0.11048069E-07  0.00000000E+00    9.159200
 -4.270  0.10971337E-03  0.12037023E-07  0.00000000E+00    9.116450
 -4.260  0.11450601E-03  0.13111626E-07  0.00000000E+00    9.073800
 -4.250  0.11949500E-03  0.14279055E-07  0.00000000E+00    9.031250
 -4.240  0.12468788E-03  0.15547067E-07  0.00000000E+00    8.988800
 -4.230  0.13009245E-03  0.16924045E-07  0.00000000E+00    8.946450
 -4.220  0.13571678E-03  0.18419044E-07  0.00000000E+00    8.904200
 -4.210  0.14156923E-03  0.20041847E-07  0.00000000E+00    8.862050
 -4.200  0.14765844E-03  0.21803016E-07  0.00000000E+00    8.820000
 -4.190  0.15399336E-03  0.23713956E-07  0.00000000E+00    8.778050
 -4.180  0.16058323E-03  0.25786974E-07  0.00000000E+00    8.736200
 -4.170  0.16743762E-03  0.28035357E-07  0.00000000E+00    8.694450
 -4.160  0.17456642E-03  0.30473436E-07  0.00000000E+00    8.652800
 -4.150  0.18197987E-03  0.33116672E-07  0.00000000E+00    8.611250
 -4.140  0.18968853E-03  0.35981737E-07  0.00000000E+00    8.569800
 -4.130  0.19770333E-03  0.39086608E-07  0.00000000E+00    8.528450
 -4.120  0.20603559E-03  0.42450666E-07  0.00000000E+00    8.487200
 -4.110  0.21469698E-03  0.46094795E-07  0.00000000E+00    8.446050
 -4.100  0.22369957E-03  0.50041498E-07  0.00000000E+00    8.405000
 -4.090  0.23305583E-03  0.54315019E-07  0.00000000E+00    8.364050
 -4.080  0.24277864E-03  0.58941467E-07  0.00000000E+00    8.323200
 -4.070  0.25288131E-03  0.63948957E-07  0.00000000E+00    8.282450
 -4.060  0.26337759E-03  0.69367754E-07  0.00000000E+00    8.241800
 -4.050  0.27428167E-03  0.75230435E-07  0.00000000E+00    8.201250
 -4.040  0.28560822E-03  0.81572053E-07  0.00000000E+00    8.160800
 -4.030  0.29737236E-03  0.88430319E-07  0.00000000E+00    8.120450
 -4.020  0.30958972E-03  0.95845796E-07  0.00000000E+00    8.080200
 -4.010  0.32227644E-03  0.10386210E-06  0.00000000E+00    8.040050
 -4.000  0.33544915E-03  0.11252613E-06  0.00000000E+00    8.000000
 -3.990  0.34912503E-03  0.12188829E-06  0.00000000E+00    7.960050
 -3.980  0.36332182E-03  0.13200274E-06  0.00000000E+00    7.920200
 -3.970  0.37805779E-03  0.14292769E-06  0.00000000E+00    7.880450
 -3.960  0.39335180E-03  0.15472564E-06  0.00000000E+00    7.840800
 -3.950  0.40922332E-03  0.16746373E-06  0.00000000E+00    7.801250
 -3.940  0.42569241E-03  0.18121403E-06  0.00000000E+00    7.761800
 -3.930  0.44277976E-03  0.19605391E-06  0.00000000E+00    7.722450
 -3.920  0.46050669E-03  0.21206642E-06  0.00000000E+00    7.683200
 -3.910  0.47889521E-03  0.22934063E-06  0.00000000E+00    7.644050
 -3.900  0.49796799E-03  0.24797212E-06  0.00000000E+00    7.605000
 -3.890  0.51774837E-03  0.26806337E-06  0.00000000E+00    7.566050
 -3.880  0.53826044E-03  0.28972430E-06  0.00000000E+00    7.527200
 -3.870  0.55952901E-03  0.31307271E-06  0.00000000E+00    7.488450
 -3.860  0.58157962E-03  0.33823485E-06  0.00000000E+00    7.449800
 -3.850  0.60443861E-03  0.36534603E-06  0.00000000E+00    7.411250
 -3.840  0.62813308E-03  0.39455116E-06  0.00000000E+00    7.372800
 -3.830  0.65269096E-03  0.42600548E-06  0.00000000E+00    7.334450
 -3.820  0.67814099E-03  0.45987520E-06  0.00000000E+00    7.296200
 -3.810  0.70451278E-03  0.49633826E-06  0.00000000E+00    7.258050
 -3.800  0.73183680E-03  0.53558511E-06  0.00000000E+00    7.220000
 -3.790  0.76014441E-03  0.57781953E-06  0.00000000E+00    7.182050
 -3.780  0.78946788E-03  0.62325954E-06  0.00000000E+00    7.144200
 -3.770  0.81984044E-03  0.67213834E-06  0.00000000E+00    7.106450
 -3.760  0.85129623E-03  0.72470528E-06  0.00000000E+00    7.068800
 -3.750  0.88387043E-03  0.78122694E-06  0.00000000E+00    7.031250
 -3.740  0.91759918E-03  0.84198826E-06  0.00000000E+00    6.993800
 -3.730  0.95251968E-03  0.90729374E-06  0.00000000E+00    6.956450
 -3.720  0.98867016E-03  0.97746868E-06  0.00000000E+00    6.919200
 -3.710  0.10260899E-02  0.10528605E-05  0.00000000E+00    6.882050
 -3.700  0.10648194E-02  0.11338404E-05  0.00000000E+00    6.845000
 -3.690  0.11049001E-02  0.12208043E-05  0.00000000E+00    6.808050
 -3.680  0.11463748E-02  0.13141753E-05  0.00000000E+00    6.771200
 -3.670  0.11892874E-02  0.14144044E-05  0.00000000E+00    6.734450
 -3.660  0.12336828E-02  0.15219732E-05  0.00000000E+00    6.697800
 -3.650  0.12796075E-02  0.16373952E-05  0.00000000E+00    6.661250
 -3.640  0.13271089E-02  0.17612181E-05  0.00000000E+00    6.624800
 -3.630  0.13762360E-02  0.18940256E-05  0.00000000E+00    6.588450
 -3.620  0.14270390E-02  0.20364402E-05  0.00000000E+00    6.552200
 -3.610  0.14795692E-02  0.21891252E-05  0.00000000E+00    6.516050
 -3.600  0.15338798E-02  0.23527871E-05  0.00000000E+00    6.480000
 -3.590  0.15900248E-02  0.25281789E-05  0.00000000E+00    6.444050
 -3.580  0.16480601E-02  0.27161021E-05  0.00000000E+00    6.408200
 -3.570  0.17080428E-02  0.29174102E-05  0.00000000E+00    6.372450
 -3.560  0.17700316E-02  0.31330117E-05  0.00000000E+00    6.336800
 -3.550  0.18340866E-02  0.33638737E-05  0.00000000E+00    6.301250
 -3.540  0.19002696E-02  0.36110247E-05  0.00000000E+00    6.265800
 -3.530  0.19686440E-02  0.38755592E-05  0.00000000E+00    6.230450
 -3.520  0.20392746E-02  0.41586409E-05  0.00000000E+00    6.195200
 -3.510  0.21122280E-02  0.44615072E-05  0.00000000E+00    6.160050
 -3.500  0.21875725E-02  0.47854734E-05  0.00000000E+00    6.125000
 -3.490  0.22653780E-02  0.51319375E-05  0.00000000E+00    6.090050
 -3.480  0.23457162E-02  0.55023846E-05  0.00000000E+00    6.055200
 -3.470  0.24286606E-02  0.58983924E-05  0.00000000E+00    6.020450
 -3.460  0.25142865E-02  0.63216366E-05  0.00000000E+00    5.985800
 -3.450  0.26026709E-02  0.67738960E-05  0.00000000E+00    5.951250
 -3.440  0.26938929E-02  0.72570592E-05  0.00000000E+00    5.916800
 -3.430  0.27880334E-02  0.77731303E-05  0.00000000E+00    5.882450
 -3.420  0.28851752E-02  0.83242357E-05  0.00000000E+00    5.848200
 -3.410  0.29854030E-02  0.89126312E-05  0.00000000E+00    5.814050
 -3.400  0.30888038E-02  0.95407089E-05  0.00000000E+00    5.780000
 -3.390  0.31954663E-02  0.10211005E-04  0.00000000E+00    5.746050
 -3.380  0.33054816E-02  0.10926209E-04  0.00000000E+00    5.712200
 -3.370  0.34189427E-02  0.11689169E-04  0.00000000E+00    5.678450
 -3.360  0.35359447E-02  0.12502905E-04  0.00000000E+00    5.644800
 -3.350  0.36565850E-02  0.13370614E-04  0.00000000E+00    5.611250
 -3.340  0.37809633E-02  0.14295684E-04  0.00000000E+00    5.577800
 -3.330  0.39091814E-02  0.15281699E-04  0.00000000E+00    5.544450
 -3.320  0.40413434E-02  0.16332457E-04  0.00000000E+00    5.511200
 -3.310  0.41775559E-02  0.17451973E-04  0.00000000E+00    5.478050
 -3.300  0.43179275E-02  0.18644498E-04  0.00000000E+00    5.445000
 -3.290  0.44625696E-02  0.19914528E-04  0.00000000E+00    5.412050
 -3.280  0.46115958E-02  0.21266816E-04  0.00000000E+00    5.379200
 -3.270  0.47651221E-02  0.22706389E-04  0.00000000E+00    5.346450
 -3.260  0.49232672E-02  0.24238560E-04  0.00000000E+00    5.313800
 -3.250  0.50861523E-02  0.25868945E-04  0.00000000E+00    5.281250
 -3.240  0.52539010E-02  0.27603476E-04  0.00000000E+00    5.248800
 -3.230  0.54266396E-02  0.29448418E-04  0.00000000E+00    5.216450
 -3.220  0.56044972E-02  0.31410389E-04  0.00000000E+00    5.184200
 -3.210  0.57876052E-02  0.33496374E-04  0.00000000E+00    5.152050
 -3.200  0.59760982E-02  0.35713749E-04  0.00000000E+00    5.120000
 -3.190  0.61701130E-02  0.38070294E-04  0.00000000E+00    5.088050
 -3.180  0.63697896E-02  0.40574219E-04  0.00000000E+00    5.056200
 -3.170  0.65752706E-02  0.43234183E-04  0.00000000E+00    5.024450
 -3.160  0.67867015E-02  0.46059317E-04  0.00000000E+00    4.992800
 -3.150  0.70042306E-02  0.49059247E-04  0.00000000E+00    4.961250
 -3.140  0.72280093E-02  0.52244119E-04  0.00000000E+00    4.929800
 -3.130  0.74581918E-02  0.55624624E-04  0.00000000E+00    4.898450
 -3.120  0.76949351E-02  0.59212026E-04  0.00000000E+00    4.867200
 -3.110  0.79383995E-02  0.63018187E-04  0.00000000E+00    4.836050
 -3.100  0.81887482E-02  0.67055596E-04  0.00000000E+00    4.805000
 -3.090  0.84461473E-02  0.71337405E-04  0.00000000E+00    4.774050
 -3.080  0.87107664E-02  0.75877451E-04  0.00000000E+00    4.743200
 -3.070  0.89827777E-02  0.80690295E-04  0.00000000E+00    4.712450
 -3.060  0.92623570E-02  0.85791257E-04  0.00000000E+00    4.681800
 -3.050  0.95496829E-02  0.91196443E-04  0.00000000E+00    4.651250
 -3.040  0.98449374E-02  0.96922793E-04  0.00000000E+00    4.620800
 -3.030  0.10148306E-01  0.10298811E-03  0.00000000E+00    4.590450
 -3.020  0.10459976E-01  0.10941111E-03  0.00000000E+00    4.560200
 -3.010  0.10780141E-01  0.11621144E-03  0.00000000E+00    4.530050
 -3.000  0.11108994E-01  0.12340976E-03  0.00000000E+00    4.500000
 -2.990  0.11446735E-01  0.13102774E-03  0.00000000E+00    4.470050
 -2.980  0.11793564E-01  0.13908816E-03  0.00000000E+00    4.440200
 -2.970  0.12149688E-01  0.14761491E-03  0.00000000E+00    4.410450
 -2.960  0.12515313E-01  0.15663306E-03  0.00000000E+00    4.380800
 -2.950  0.12890652E-01  0.16616892E-03  0.00000000E+00    4.351250
 -2.940  0.13275921E-01  0.17625007E-03  0.00000000E+00    4.321800
 -2.930  0.13671337E-01  0.18690545E-03  0.00000000E+00    4.292450
 -2.920  0.14077122E-01  0.19816537E-03  0.00000000E+00    4.263200
 -2.910  0.14493503E-01  0.21006162E-03  0.00000000E+00    4.234050
 -2.900  0.14920707E-01  0.22262750E-03  0.00000000E+00    4.205000
 -2.890  0.15358968E-01  0.23589790E-03  0.00000000E+00    4.176050
 -2.880  0.15808521E-01  0.24990933E-03  0.00000000E+00    4.147200
