# x(i)     phi(i)          |phi(i)|**2   p_classical(i)    vpot(i)
 -5.000  0.24507499E+03  0.60061753E+05  0.00000000E+00   12.500000
 -4.995  0.23927593E+03  0.57252972E+05  0.00000000E+00   12.475013
 -4.990  0.23362020E+03  0.54578397E+05  0.00000000E+00   12.450050
 -4.985  0.22810411E+03  0.52031486E+05  0.00000000E+00   12.425113
 -4.980  0.22272409E+03  0.49606020E+05  0.00000000E+00   12.400200
 -4.975  0.21747665E+03  0.47296092E+05  0.00000000E+00   12.375313
 -4.970  0.21235839E+03  0.45096085E+05  0.00000000E+00   12.350450
 -4.965  0.20736601E+03  0.43000662E+05  0.00000000E+00   12.325613
 -4.960  0.20249630E+03  0.41004750E+05  0.00000000E+00   12.300800
 -4.955  0.19774611E+03  0.39103525E+05  0.00000000E+00   12.276013
 -4.950  0.19311241E+03  0.37292403E+05  0.00000000E+00   12.251250
 -4.945  0.18859222E+03  0.35567027E+05  0.00000000E+00   12.226513
 -4.940  0.18418266E+03  0.33923252E+05  0.00000000E+00   12.201800
 -4.935  0.17988091E+03  0.32357140E+05  0.00000000E+00   12.177113
 -4.930  0.17568422E+03  0.30864946E+05  0.00000000E+00   12.152450
 -4.925  0.17158994E+03  0.29443107E+05  0.00000000E+00   12.127812
 -4.920  0.16759546E+03  0.28088238E+05  0.00000000E+00   12.103200
 -4.915  0.16369825E+03  0.26797118E+05  0.00000000E+00   12.078613
 -4.910  0.15989586E+03  0.25566686E+05  0.00000000E+00   12.054050
 -4.905  0.15618588E+03  0.24394028E+05  0.00000000E+00   12.029513
 -4.900  0.15256597E+03  0.23276376E+05  0.00000000E+00   12.005000
 -4.895  0.14903387E+03  0.22211094E+05  0.00000000E+00   11.980513
 -4.890  0.14558735E+03  0.21195676E+05  0.00000000E+00   11.956050
 -4.885  0.14222426E+03  0.20227740E+05  0.00000000E+00   11.931612
 -4.880  0.13894250E+03  0.19305019E+05  0.00000000E+00   11.907200
 -4.875  0.13574002E+03  0.18425354E+05  0.00000000E+00   11.882813
 -4.870  0.13261483E+03  0.17586694E+05  0.00000000E+00   11.858450
 -4.865  0.12956499E+03  0.16787087E+05  0.00000000E+00   11.834113
 -4.860  0.12658861E+03  0.16024676E+05  0.00000000E+00   11.809800
 -4.855  0.12368384E+03  0.15297693E+05  0.00000000E+00   11.785513
 -4.850  0.12084890E+03  0.14604456E+05  0.00000000E+00   11.761250
 -4.845  0.11808203E+03  0.13943365E+05  0.00000000E+00   11.737012
 -4.840  0.11538153E+03  0.13312898E+05  0.00000000E+00   11.712800
 -4.835  0.11274576E+03  0.12711605E+05  0.00000000E+00   11.688612
 -4.830  0.11017308E+03  0.12138107E+05  0.00000000E+00   11.664450
 -4.825  0.10766193E+03  0.11591091E+05  0.00000000E+00   11.640313
 -4.820  0.10521078E+03  0.11069308E+05  0.00000000E+00   11.616200
 -4.815  0.10281813E+03  0.10571568E+05  0.00000000E+00   11.592113
 -4.810  0.10048253E+03  0.10096739E+05  0.00000000E+00   11.568050
 -4.805  0.98202564E+02  0.96437435E+04  0.00000000E+00   11.544012
 -4.800  0.95976849E+02  0.92115555E+04  0.00000000E+00   11.520000
 -4.795  0.93804041E+02  0.87991982E+04  0.00000000E+00   11.496012
 -4.790  0.91682831E+02  0.84057415E+04  0.00000000E+00   11.472050
 -4.785  0.89611941E+02  0.80302999E+04  0.00000000E+00   11.448113
 -4.780  0.87590127E+02  0.76720303E+04  0.00000000E+00   11.424200
 -4.775  0.85616178E+02  0.73301299E+04  0.00000000E+00   11.400313
 -4.770  0.83688912E+02  0.70038340E+04  0.00000000E+00   11.376450
 -4.765  0.81807179E+02  0.66924146E+04  0.00000000E+00   11.352612
 -4.760  0.79969858E+02  0.63951782E+04  0.00000000E+00   11.328800
 -4.755  0.78175856E+02  0.61114644E+04  0.00000000E+00   11.305013
 -4.750  0.76424107E+02  0.58406442E+04  0.00000000E+00   11.281250
 -4.745  0.74713576E+02  0.55821184E+04  0.00000000E+00   11.257513
 -4.740  0.73043249E+02  0.53353162E+04  0.00000000E+00   11.233800
 -4.735  0.71412142E+02  0.50996941E+04  0.00000000E+00   11.210113
